,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
23068,27.0,male,Bachelor,61188.0,5,RENT,8000.0,HOMEIMPROVEMENT,7.9,0.13,9.0,647.0,No,0.0
28566,32.0,male,,94520.0,6,RENT,13000.0,EDUCATION,12.87,0.14,10.0,669.0,Yes,0.0
4111,25.0,male,Bachelor,48773.0,4,MORTGAGE,8000.0,HOMEIMPROVEMENT,11.01,0.16,4.0,687.0,No,0.0
20062,31.0,female,Associate,45699.0,11,RENT,3900.0,EDUCATION,11.01,0.09,8.0,638.0,Yes,0.0
54,25.0,male,Bachelor,144985.0,3,RENT,30000.0,EDUCATION,7.9,0.21,4.0,559.0,No,0.0
24289,29.0,male,High School,86092.0,6,MORTGAGE,11000.0,HOMEIMPROVEMENT,13.43,0.13,6.0,670.0,Yes,0.0
13957,22.0,female,Master,73042.0,0,RENT,14000.0,PERSONAL,6.03,0.19,2.0,679.0,Yes,0.0
1036,23.0,female,High School,91967.0,2,RENT,18000.0,EDUCATION,9.88,0.2,3.0,578.0,Yes,0.0
14535,24.0,male,Associate,132412.0,4,MORTGAGE,3500.0,EDUCATION,10.75,0.03,3.0,661.0,Yes,0.0
13354,22.0,female,High School,108931.0,1,MORTGAGE,2500.0,EDUCATION,13.22,0.02,2.0,689.0,No,0.0
32856,38.0,female,High School,78199.0,16,RENT,3069.0,EDUCATION,6.95,0.04,14.0,632.0,Yes,0.0
13910,22.0,male,Bachelor,118479.0,1,MORTGAGE,25000.0,EDUCATION,14.46,0.21,3.0,611.0,Yes,0.0
20691,27.0,male,Bachelor,40702.0,2,RENT,5000.0,EDUCATION,14.22,0.12,10.0,650.0,Yes,0.0
39531,25.0,male,Master,121396.0,1,MORTGAGE,20000.0,HOMEIMPROVEMENT,6.52,0.16,6.0,710.0,Yes,0.0
2178,23.0,male,Associate,55073.0,0,RENT,13500.0,EDUCATION,7.88,0.25,3.0,631.0,Yes,0.0
31817,38.0,female,Associate,181142.0,16,MORTGAGE,12000.0,MEDICAL,11.14,0.07,17.0,669.0,No,0.0
6203,22.0,female,Master,58264.0,3,MORTGAGE,2800.0,PERSONAL,12.53,0.05,2.0,650.0,Yes,0.0
20731,32.0,male,Master,45402.0,8,RENT,5000.0,VENTURE,12.53,0.11,9.0,630.0,Yes,0.0
19857,30.0,female,Associate,44149.0,7,MORTGAGE,11500.0,PERSONAL,13.57,0.26,8.0,545.0,Yes,0.0
42971,40.0,male,Master,104301.0,20,MORTGAGE,8217.0,EDUCATION,7.91,0.08,17.0,742.0,No,1.0
36644,25.0,male,High School,73049.0,4,MORTGAGE,4000.0,EDUCATION,9.65,0.05,4.0,640.0,Yes,0.0
37542,37.0,female,High School,61685.0,14,MORTGAGE,,EDUCATION,7.57,0.21,13.0,601.0,Yes,0.0
18795,30.0,male,High School,18709.0,6,RENT,1200.0,DEBTCONSOLIDATION,8.0,0.06,9.0,660.0,No,0.0
43723,31.0,female,Associate,74475.0,10,RENT,7501.0,DEBTCONSOLIDATION,12.67,0.1,8.0,720.0,No,1.0
11920,26.0,female,Bachelor,93880.0,4,MORTGAGE,6800.0,DEBTCONSOLIDATION,13.06,0.07,4.0,671.0,Yes,0.0
21631,27.0,female,Associate,48918.0,2,RENT,6000.0,EDUCATION,12.73,0.12,10.0,638.0,Yes,0.0
32159,36.0,male,,39669.0,16,RENT,5000.0,MEDICAL,10.62,0.13,13.0,712.0,No,0.0
20274,33.0,male,Master,70477.0,11,RENT,4000.0,HOMEIMPROVEMENT,11.01,0.06,7.0,660.0,No,1.0
34475,24.0,male,High School,301083.0,0,MORTGAGE,5000.0,DEBTCONSOLIDATION,8.78,0.02,5.0,628.0,Yes,0.0
17476,23.0,female,Bachelor,44283.0,0,MORTGAGE,14000.0,PERSONAL,12.99,0.32,3.0,641.0,No,
42856,56.0,male,High School,62424.0,35,RENT,20000.0,HOMEIMPROVEMENT,14.0,0.32,19.0,594.0,No,1.0
12991,25.0,female,Master,103015.0,1,RENT,12000.0,DEBTCONSOLIDATION,12.42,0.12,4.0,709.0,No,0.0
25994,31.0,male,Associate,115114.0,9,MORTGAGE,5000.0,HOMEIMPROVEMENT,6.03,0.04,5.0,564.0,Yes,0.0
25511,27.0,male,Associate,102961.0,5,MORTGAGE,10400.0,EDUCATION,13.16,0.1,6.0,629.0,Yes,0.0
9536,26.0,male,Master,151245.0,3,RENT,8000.0,MEDICAL,9.63,0.05,3.0,647.0,Yes,0.0
5703,26.0,male,Master,56370.0,4,MORTGAGE,11000.0,HOMEIMPROVEMENT,12.69,0.2,2.0,518.0,Yes,0.0
8320,23.0,male,Bachelor,53620.0,3,RENT,7500.0,VENTURE,16.0,0.14,4.0,645.0,No,1.0
20544,28.0,male,Bachelor,142639.0,7,RENT,4800.0,DEBTCONSOLIDATION,8.9,0.03,6.0,679.0,No,0.0
15033,25.0,female,Associate,35569.0,3,RENT,1600.0,MEDICAL,6.62,0.04,2.0,581.0,Yes,0.0
1291,26.0,male,High School,31673.0,3,MORTGAGE,5600.0,HOMEIMPROVEMENT,11.91,0.18,4.0,554.0,Yes,0.0
9369,23.0,female,Bachelor,75049.0,2,OWN,2500.0,PERSONAL,11.01,0.03,3.0,656.0,No,0.0
30969,45.0,female,Master,58750.0,26,RENT,,DEBTCONSOLIDATION,11.86,0.17,16.0,692.0,No,0.0
682,21.0,female,Bachelor,68120.0,0,RENT,20000.0,VENTURE,17.39,0.29,3.0,664.0,No,1.0
24057,27.0,male,Bachelor,85486.0,4,MORTGAGE,8000.0,DEBTCONSOLIDATION,7.66,0.09,10.0,656.0,Yes,0.0
32942,24.0,male,Associate,37579.0,3,RENT,5000.0,EDUCATION,7.75,0.13,2.0,651.0,No,0.0
20574,28.0,female,Bachelor,124731.0,6,RENT,10000.0,DEBTCONSOLIDATION,9.88,0.08,8.0,684.0,Yes,0.0
19864,32.0,female,Associate,58563.0,10,RENT,11000.0,MEDICAL,7.51,0.19,10.0,680.0,No,0.0
38873,28.0,male,,123235.0,7,MORTGAGE,10000.0,VENTURE,6.85,0.08,10.0,701.0,Yes,0.0
27470,27.0,male,Associate,90950.0,6,RENT,15000.0,DEBTCONSOLIDATION,14.35,0.16,5.0,589.0,Yes,0.0
1788,22.0,female,Associate,27520.0,1,RENT,2000.0,VENTURE,7.29,0.07,3.0,604.0,No,0.0
5922,24.0,,Associate,29992.0,0,RENT,5600.0,MEDICAL,12.73,0.19,4.0,627.0,Yes,0.0
40236,36.0,male,High School,37737.0,16,RENT,,VENTURE,13.19,0.12,11.0,673.0,Yes,
20249,31.0,,Bachelor,63196.0,12,RENT,4000.0,MEDICAL,7.49,0.06,5.0,646.0,Yes,0.0
36894,25.0,male,High School,53424.0,3,MORTGAGE,2000.0,EDUCATION,6.35,0.04,3.0,663.0,No,0.0
34918,,male,Master,60817.0,17,RENT,15000.0,HOMEIMPROVEMENT,9.22,0.25,15.0,582.0,Yes,0.0
36826,23.0,male,High School,61093.0,0,RENT,3000.0,EDUCATION,11.88,0.05,3.0,644.0,No,0.0
18037,31.0,female,Bachelor,70270.0,10,RENT,25000.0,MEDICAL,17.19,0.36,8.0,661.0,No,1.0
37437,23.0,male,Bachelor,121169.0,0,RENT,14400.0,EDUCATION,10.89,0.12,3.0,665.0,No,0.0
17795,24.0,female,,56335.0,3,RENT,10800.0,VENTURE,13.16,0.19,4.0,667.0,No,0.0
30841,44.0,male,Master,30460.0,20,RENT,9750.0,VENTURE,16.77,0.32,15.0,671.0,No,1.0
32152,36.0,male,Master,175029.0,13,MORTGAGE,5000.0,DEBTCONSOLIDATION,9.62,0.03,12.0,688.0,No,0.0
29984,40.0,male,High School,52945.0,15,OWN,15000.0,MEDICAL,16.0,0.28,16.0,635.0,Yes,0.0
14648,23.0,female,High School,37053.0,0,RENT,15000.0,PERSONAL,10.25,0.4,4.0,624.0,No,1.0
1099,23.0,male,High School,59911.0,3,RENT,17500.0,DEBTCONSOLIDATION,13.85,0.29,4.0,530.0,No,1.0
19304,30.0,male,Bachelor,39532.0,7,MORTGAGE,6625.0,HOMEIMPROVEMENT,14.79,0.17,10.0,679.0,No,0.0
20859,29.0,male,High School,72363.0,8,RENT,9000.0,HOMEIMPROVEMENT,5.42,0.12,9.0,538.0,Yes,0.0
19790,27.0,female,High School,79278.0,8,RENT,3500.0,VENTURE,7.37,0.04,9.0,693.0,Yes,0.0
12834,24.0,female,High School,102530.0,1,OWN,22000.0,VENTURE,6.54,0.21,4.0,610.0,No,0.0
15500,24.0,male,Bachelor,168997.0,0,MORTGAGE,25000.0,HOMEIMPROVEMENT,10.74,0.15,4.0,644.0,No,0.0
32462,56.0,male,Bachelor,84905.0,37,MORTGAGE,2500.0,PERSONAL,5.99,0.03,23.0,726.0,Yes,0.0
26722,32.0,male,Master,133133.0,9,OWN,9000.0,EDUCATION,11.48,0.07,10.0,704.0,No,0.0
6173,22.0,female,Bachelor,58540.0,1,MORTGAGE,6500.0,VENTURE,10.62,0.11,3.0,647.0,Yes,0.0
6869,22.0,male,Master,61258.0,0,OWN,16000.0,VENTURE,9.45,0.26,4.0,661.0,No,0.0
15445,23.0,male,Master,84954.0,0,RENT,15000.0,EDUCATION,11.89,0.18,4.0,571.0,Yes,0.0
38763,,female,High School,198669.0,0,MORTGAGE,10000.0,VENTURE,9.18,0.05,4.0,590.0,No,0.0
3746,22.0,female,High School,31521.0,0,RENT,4000.0,EDUCATION,5.42,0.13,4.0,494.0,Yes,0.0
39638,29.0,male,High School,229971.0,5,MORTGAGE,14317.0,EDUCATION,12.04,0.06,6.0,551.0,Yes,0.0
36786,23.0,male,Associate,87606.0,1,MORTGAGE,9000.0,EDUCATION,9.98,0.1,3.0,624.0,No,0.0
22839,27.0,female,Master,45610.0,3,RENT,7900.0,EDUCATION,11.11,0.17,7.0,550.0,Yes,0.0
17824,25.0,female,Bachelor,80269.0,2,RENT,25000.0,EDUCATION,15.33,0.31,2.0,661.0,No,1.0
23822,31.0,female,Master,80461.0,12,MORTGAGE,4200.0,VENTURE,7.49,0.05,7.0,,Yes,0.0
4176,25.0,female,Master,22958.0,3,RENT,,EDUCATION,13.61,0.2,2.0,596.0,No,1.0
6381,22.0,male,Associate,44819.0,0,RENT,6000.0,EDUCATION,11.86,0.13,4.0,683.0,Yes,0.0
12739,26.0,female,High School,84906.0,1,RENT,12000.0,EDUCATION,5.99,0.14,4.0,576.0,No,0.0
21179,32.0,male,High School,79483.0,12,RENT,5000.0,MEDICAL,11.28,0.06,9.0,654.0,No,1.0
28070,29.0,female,Master,97361.0,7,MORTGAGE,8000.0,MEDICAL,7.14,0.08,7.0,597.0,Yes,0.0
43369,29.0,,,22599.0,6,RENT,6400.0,HOMEIMPROVEMENT,10.37,0.28,6.0,617.0,No,1.0
32424,53.0,female,Associate,34453.0,26,RENT,7000.0,DEBTCONSOLIDATION,6.0,0.2,26.0,609.0,Yes,0.0
12876,,female,Associate,90598.0,1,RENT,12000.0,DEBTCONSOLIDATION,11.58,0.13,3.0,677.0,Yes,0.0
28143,28.0,male,Master,14350.0,4,MORTGAGE,,DEBTCONSOLIDATION,10.78,0.15,6.0,672.0,No,1.0
10394,23.0,female,High School,81467.0,5,MORTGAGE,5525.0,EDUCATION,6.99,0.07,4.0,690.0,Yes,0.0
33520,32.0,female,Associate,78896.0,9,MORTGAGE,16800.0,MEDICAL,9.94,0.21,6.0,590.0,Yes,0.0
39320,32.0,male,Master,97366.0,13,RENT,10000.0,VENTURE,10.5,0.1,10.0,617.0,Yes,0.0
2334,23.0,male,Master,38702.0,1,OWN,2500.0,EDUCATION,6.92,0.06,4.0,654.0,No,0.0
5249,24.0,male,Bachelor,37002.0,0,RENT,8850.0,MEDICAL,11.01,0.24,4.0,601.0,Yes,0.0
6841,21.0,,Bachelor,53666.0,0,MORTGAGE,15000.0,DEBTCONSOLIDATION,16.0,0.28,2.0,691.0,No,1.0
17219,,female,Bachelor,55067.0,0,RENT,4000.0,MEDICAL,12.21,0.07,2.0,607.0,Yes,0.0
37031,32.0,male,,90064.0,7,RENT,8124.0,EDUCATION,8.72,0.09,5.0,656.0,No,0.0
13383,26.0,female,Master,108784.0,3,OWN,9500.0,VENTURE,8.07,0.09,2.0,559.0,Yes,0.0
21171,29.0,male,Bachelor,55477.0,9,MORTGAGE,15150.0,PERSONAL,14.54,0.27,10.0,689.0,Yes,0.0
13468,23.0,female,Bachelor,82582.0,1,MORTGAGE,8000.0,MEDICAL,15.33,0.1,3.0,691.0,No,1.0
17192,25.0,male,High School,59997.0,2,MORTGAGE,5000.0,MEDICAL,9.88,0.08,2.0,614.0,No,1.0
29142,38.0,female,High School,368127.0,16,MORTGAGE,15000.0,VENTURE,10.62,0.04,17.0,693.0,No,0.0
3577,23.0,female,Master,45807.0,0,MORTGAGE,7125.0,EDUCATION,13.99,0.16,4.0,,Yes,0.0
377,25.0,female,Bachelor,65399.0,0,RENT,,PERSONAL,13.98,0.37,4.0,663.0,No,1.0
10234,25.0,male,Associate,73160.0,1,RENT,9600.0,DEBTCONSOLIDATION,7.9,0.13,2.0,635.0,Yes,
18044,28.0,female,Associate,231317.0,7,MORTGAGE,20000.0,MEDICAL,11.01,0.09,9.0,578.0,Yes,0.0
21075,30.0,female,Bachelor,59828.0,7,RENT,5000.0,EDUCATION,10.74,0.08,10.0,645.0,No,1.0
27828,31.0,,Bachelor,300959.0,7,MORTGAGE,,PERSONAL,14.09,0.04,6.0,623.0,No,0.0
36370,24.0,male,Master,48849.0,0,RENT,7000.0,EDUCATION,11.55,0.14,3.0,641.0,No,0.0
2735,26.0,male,Bachelor,42045.0,5,MORTGAGE,6000.0,PERSONAL,6.92,0.14,4.0,715.0,Yes,0.0
42525,25.0,male,Associate,65703.0,6,RENT,7966.0,HOMEIMPROVEMENT,13.71,0.12,4.0,646.0,No,1.0
14177,26.0,male,Associate,162677.0,0,RENT,14275.0,PERSONAL,9.45,0.09,2.0,629.0,No,0.0
38312,24.0,female,Associate,54809.0,4,RENT,,PERSONAL,10.63,0.14,4.0,673.0,Yes,0.0
10900,24.0,male,Associate,85094.0,0,MORTGAGE,16000.0,DEBTCONSOLIDATION,10.62,0.19,2.0,573.0,No,0.0
20279,33.0,female,Master,78916.0,10,RENT,4000.0,MEDICAL,12.87,0.05,7.0,710.0,Yes,0.0
27554,31.0,female,Associate,166389.0,5,MORTGAGE,35000.0,PERSONAL,7.49,0.21,5.0,600.0,No,1.0
254,26.0,male,Master,217024.0,1,MORTGAGE,12000.0,VENTURE,9.63,0.06,4.0,637.0,Yes,0.0
19878,27.0,male,Associate,73148.0,1,RENT,11000.0,HOMEIMPROVEMENT,10.71,0.15,7.0,655.0,No,0.0
30271,37.0,female,Associate,29957.0,15,RENT,7000.0,MEDICAL,6.92,0.23,14.0,634.0,Yes,0.0
11763,26.0,male,Associate,99465.0,1,RENT,10000.0,MEDICAL,7.29,0.1,4.0,605.0,Yes,0.0
36815,28.0,male,Bachelor,54103.0,5,MORTGAGE,7532.0,PERSONAL,7.92,0.14,8.0,654.0,Yes,0.0
27597,29.0,female,Associate,108822.0,9,RENT,15000.0,MEDICAL,13.85,0.14,10.0,597.0,Yes,0.0
25988,27.0,male,Associate,97205.0,4,RENT,12800.0,HOMEIMPROVEMENT,18.67,0.13,6.0,644.0,No,0.0
21069,31.0,female,Master,66703.0,10,RENT,5000.0,PERSONAL,11.01,0.07,10.0,678.0,Yes,0.0
10800,23.0,male,High School,84933.0,1,OWN,3600.0,EDUCATION,10.59,0.04,4.0,602.0,Yes,0.0
1670,21.0,female,High School,35185.0,0,MORTGAGE,2000.0,PERSONAL,7.29,0.06,4.0,571.0,Yes,0.0
10585,24.0,female,High School,83665.0,4,MORTGAGE,3000.0,DEBTCONSOLIDATION,11.11,0.04,2.0,605.0,Yes,0.0
21583,28.0,female,Associate,43108.0,5,RENT,6000.0,EDUCATION,11.89,0.14,10.0,582.0,Yes,0.0
36538,30.0,male,Associate,73011.0,7,RENT,5500.0,DEBTCONSOLIDATION,9.04,0.08,9.0,599.0,Yes,0.0
4280,24.0,male,Bachelor,105441.0,1,RENT,4500.0,VENTURE,11.01,0.04,4.0,600.0,Yes,0.0
2536,22.0,male,Master,40259.0,0,OWN,12000.0,PERSONAL,9.91,0.3,2.0,612.0,Yes,0.0
19366,31.0,male,Master,40069.0,8,MORTGAGE,8975.0,MEDICAL,6.62,0.22,10.0,656.0,Yes,0.0
36761,,female,Bachelor,222819.0,5,RENT,15000.0,VENTURE,13.82,0.07,4.0,599.0,Yes,0.0
37704,29.0,male,Master,103110.0,7,RENT,6000.0,DEBTCONSOLIDATION,11.25,0.06,5.0,712.0,No,0.0
29983,40.0,male,Bachelor,52503.0,19,MORTGAGE,8400.0,VENTURE,13.49,0.16,12.0,691.0,No,
23413,35.0,,High School,150959.0,14,RENT,8000.0,EDUCATION,11.01,0.05,7.0,634.0,Yes,0.0
38260,24.0,female,Bachelor,108965.0,0,MORTGAGE,8481.0,PERSONAL,6.79,0.08,4.0,629.0,No,0.0
25340,28.0,male,Master,101622.0,7,OWN,25000.0,VENTURE,7.9,0.25,7.0,641.0,No,0.0
30213,42.0,male,High School,41293.0,15,RENT,6000.0,PERSONAL,16.29,0.15,15.0,655.0,No,1.0
9760,23.0,female,Bachelor,77874.0,0,MORTGAGE,5500.0,DEBTCONSOLIDATION,7.14,0.07,3.0,534.0,Yes,
1205,24.0,female,Bachelor,55218.0,5,RENT,16425.0,PERSONAL,13.49,0.3,2.0,621.0,No,1.0
32819,22.0,female,Bachelor,232344.0,0,MORTGAGE,20000.0,MEDICAL,7.31,0.09,4.0,646.0,Yes,0.0
16869,22.0,female,Associate,42303.0,1,RENT,1200.0,HOMEIMPROVEMENT,19.29,0.03,2.0,661.0,No,1.0
13025,26.0,female,,104483.0,2,RENT,12000.0,EDUCATION,12.99,0.11,2.0,659.0,Yes,0.0
11836,23.0,female,Associate,108966.0,0,RENT,10000.0,DEBTCONSOLIDATION,7.49,0.09,3.0,604.0,Yes,0.0
31007,39.0,female,Bachelor,67273.0,16,RENT,10000.0,VENTURE,10.99,0.15,13.0,717.0,No,0.0
14944,25.0,male,High School,144752.0,3,MORTGAGE,21000.0,PERSONAL,13.49,0.15,4.0,606.0,No,0.0
12101,23.0,,Associate,48862.0,0,OWN,3000.0,EDUCATION,7.66,0.06,3.0,573.0,Yes,0.0
1450,23.0,male,High School,25397.0,0,RENT,1200.0,EDUCATION,18.25,0.05,4.0,585.0,No,1.0
25101,29.0,female,Master,43203.0,5,RENT,12000.0,MEDICAL,11.58,0.28,10.0,600.0,No,1.0
39174,22.0,male,Bachelor,51300.0,0,RENT,7000.0,VENTURE,14.59,0.14,4.0,624.0,Yes,0.0
24137,27.0,female,Bachelor,50030.0,4,RENT,10000.0,MEDICAL,14.27,0.2,6.0,648.0,Yes,0.0
41154,24.0,male,Master,30662.0,3,MORTGAGE,6367.0,MEDICAL,11.08,0.21,4.0,554.0,Yes,0.0
42073,24.0,male,Associate,99773.0,5,RENT,9985.0,EDUCATION,5.92,0.1,4.0,605.0,No,0.0
13049,23.0,male,Bachelor,106005.0,0,MORTGAGE,3500.0,EDUCATION,9.32,0.03,3.0,677.0,Yes,0.0
14897,24.0,female,Master,144292.0,6,OWN,3500.0,HOMEIMPROVEMENT,12.18,0.02,2.0,678.0,Yes,0.0
30876,40.0,female,High School,39099.0,20,RENT,10000.0,MEDICAL,11.01,0.26,13.0,518.0,No,1.0
42019,43.0,male,Master,321623.0,22,MORTGAGE,21779.0,DEBTCONSOLIDATION,12.09,0.07,13.0,637.0,Yes,0.0
39295,42.0,female,,29897.0,20,RENT,5000.0,EDUCATION,11.48,0.17,12.0,732.0,No,0.0
26285,28.0,female,Associate,121070.0,4,MORTGAGE,18000.0,VENTURE,13.99,0.15,6.0,562.0,Yes,0.0
7507,22.0,male,High School,93312.0,0,RENT,6800.0,EDUCATION,13.22,0.07,3.0,625.0,Yes,0.0
16002,24.0,male,Master,50351.0,2,RENT,4000.0,DEBTCONSOLIDATION,11.01,0.08,3.0,605.0,Yes,0.0
20011,27.0,female,Associate,77525.0,5,RENT,3600.0,PERSONAL,7.49,0.05,5.0,612.0,No,1.0
4240,26.0,male,Bachelor,51390.0,5,RENT,4500.0,PERSONAL,7.66,0.09,2.0,655.0,Yes,0.0
22787,28.0,female,Master,70534.0,6,MORTGAGE,9600.0,VENTURE,7.49,0.14,7.0,682.0,No,
25699,28.0,female,Master,169155.0,7,RENT,12000.0,DEBTCONSOLIDATION,9.91,0.07,10.0,677.0,Yes,0.0
23529,27.0,male,High School,36906.0,3,RENT,8600.0,EDUCATION,7.51,0.23,8.0,626.0,No,0.0
29399,39.0,female,High School,53445.0,17,RENT,16000.0,MEDICAL,11.01,0.3,16.0,648.0,No,1.0
10572,25.0,male,Associate,83470.0,0,MORTGAGE,25000.0,MEDICAL,6.99,0.3,2.0,639.0,Yes,0.0
27756,29.0,female,Master,233003.0,6,MORTGAGE,11125.0,DEBTCONSOLIDATION,10.59,0.05,6.0,662.0,No,0.0
5795,26.0,male,Bachelor,56853.0,4,MORTGAGE,12725.0,HOMEIMPROVEMENT,12.42,0.22,2.0,621.0,Yes,0.0
30350,40.0,male,High School,63149.0,20,MORTGAGE,15250.0,DEBTCONSOLIDATION,11.86,0.24,12.0,668.0,Yes,0.0
28706,35.0,male,High School,38321.0,11,MORTGAGE,15000.0,VENTURE,13.16,0.39,9.0,637.0,Yes,0.0
18343,32.0,male,High School,65714.0,8,RENT,20000.0,VENTURE,11.11,0.3,7.0,653.0,No,1.0
7264,25.0,female,High School,31110.0,1,RENT,6325.0,MEDICAL,8.9,0.2,4.0,587.0,Yes,0.0
12276,24.0,male,Bachelor,42823.0,0,RENT,12000.0,VENTURE,6.54,0.28,2.0,637.0,No,1.0
368,23.0,female,High School,72805.0,2,RENT,24750.0,DEBTCONSOLIDATION,9.33,0.34,3.0,655.0,No,1.0
34031,26.0,female,High School,44875.0,1,RENT,5000.0,DEBTCONSOLIDATION,6.44,0.11,2.0,622.0,Yes,0.0
29742,41.0,female,Associate,73006.0,19,RENT,,PERSONAL,10.74,0.15,11.0,593.0,Yes,0.0
5622,26.0,male,Bachelor,88884.0,5,RENT,5000.0,EDUCATION,15.31,0.06,2.0,662.0,No,1.0
8068,24.0,female,Master,61174.0,3,RENT,7200.0,DEBTCONSOLIDATION,12.84,0.12,3.0,609.0,No,0.0
36475,26.0,male,Bachelor,40646.0,1,OWN,12000.0,VENTURE,8.24,0.3,7.0,670.0,Yes,0.0
11590,,male,High School,71290.0,2,MORTGAGE,14000.0,MEDICAL,6.17,0.2,4.0,651.0,No,1.0
18026,30.0,female,Associate,241012.0,7,MORTGAGE,10000.0,HOMEIMPROVEMENT,8.59,0.04,7.0,699.0,Yes,0.0
37279,,female,Doctorate,31299.0,1,RENT,5000.0,EDUCATION,7.38,0.16,7.0,667.0,Yes,0.0
34112,39.0,female,High School,36821.0,14,RENT,2290.0,MEDICAL,14.04,0.06,15.0,634.0,No,
7256,22.0,male,High School,62369.0,0,RENT,6300.0,EDUCATION,15.96,0.1,4.0,636.0,No,0.0
23061,29.0,male,Master,73140.0,7,MORTGAGE,10000.0,HOMEIMPROVEMENT,5.79,0.14,6.0,558.0,Yes,0.0
7843,26.0,female,High School,44060.0,2,RENT,7000.0,MEDICAL,13.98,0.16,2.0,612.0,No,1.0
38067,23.0,female,Associate,84138.0,0,MORTGAGE,9000.0,MEDICAL,11.22,0.11,3.0,671.0,Yes,0.0
13516,23.0,male,High School,112607.0,2,MORTGAGE,2000.0,DEBTCONSOLIDATION,7.9,0.02,4.0,676.0,No,0.0
38980,26.0,male,Associate,127332.0,7,MORTGAGE,17933.0,HOMEIMPROVEMENT,9.4,0.14,4.0,544.0,Yes,0.0
20293,32.0,female,,91343.0,11,RENT,4000.0,DEBTCONSOLIDATION,12.99,0.04,7.0,640.0,Yes,0.0
3579,23.0,female,Bachelor,67137.0,1,RENT,3600.0,PERSONAL,5.99,0.05,3.0,694.0,Yes,0.0
41797,28.0,female,Bachelor,271654.0,3,MORTGAGE,20000.0,PERSONAL,12.23,0.07,6.0,576.0,Yes,0.0
25904,34.0,male,Bachelor,111454.0,9,MORTGAGE,16000.0,HOMEIMPROVEMENT,11.11,0.14,7.0,655.0,No,
11327,26.0,female,Master,69583.0,4,RENT,10000.0,VENTURE,7.9,0.14,4.0,698.0,No,0.0
8431,24.0,male,Bachelor,96374.0,0,RENT,7500.0,VENTURE,16.89,0.08,4.0,693.0,No,1.0
2537,24.0,male,High School,37387.0,0,RENT,3000.0,EDUCATION,6.03,0.08,3.0,647.0,Yes,0.0
8263,24.0,female,Master,49242.0,2,RENT,7500.0,DEBTCONSOLIDATION,11.36,0.15,4.0,540.0,Yes,0.0
20122,29.0,female,Master,47219.0,4,MORTGAGE,14000.0,MEDICAL,14.27,0.3,8.0,680.0,No,0.0
443,21.0,female,Bachelor,22392.0,0,OWN,5000.0,EDUCATION,11.11,0.22,2.0,594.0,No,1.0
21970,28.0,male,Associate,62384.0,4,MORTGAGE,8000.0,VENTURE,7.51,0.13,5.0,602.0,Yes,0.0
35874,27.0,female,Associate,84816.0,4,RENT,13000.0,EDUCATION,12.06,0.15,7.0,552.0,Yes,0.0
39817,25.0,,Bachelor,35360.0,4,RENT,3000.0,VENTURE,11.04,0.08,3.0,539.0,Yes,0.0
3171,22.0,male,High School,47773.0,0,RENT,3500.0,MEDICAL,9.91,0.07,4.0,652.0,Yes,0.0
34956,32.0,male,High School,96855.0,9,MORTGAGE,15000.0,HOMEIMPROVEMENT,15.18,0.15,7.0,579.0,Yes,0.0
35715,22.0,male,Associate,92665.0,0,MORTGAGE,,PERSONAL,10.99,0.16,4.0,594.0,Yes,0.0
5301,24.0,male,Master,29873.0,0,RENT,8500.0,PERSONAL,7.9,0.28,3.0,635.0,No,1.0
34247,25.0,male,Associate,75186.0,2,MORTGAGE,20000.0,MEDICAL,11.01,0.27,5.0,,Yes,0.0
23932,28.0,male,High School,37286.0,3,RENT,10000.0,MEDICAL,17.58,0.27,5.0,680.0,No,1.0
24817,,female,,92401.0,6,MORTGAGE,4800.0,MEDICAL,6.99,0.05,7.0,628.0,No,0.0
16414,,female,Associate,37148.0,0,RENT,10000.0,PERSONAL,11.99,0.27,3.0,632.0,No,1.0
15889,26.0,female,Bachelor,15289.0,4,OWN,2500.0,EDUCATION,9.99,0.16,3.0,662.0,No,1.0
33255,23.0,male,,35020.0,1,RENT,5500.0,MEDICAL,12.53,0.16,2.0,543.0,Yes,0.0
15555,23.0,male,Bachelor,174697.0,0,MORTGAGE,14400.0,EDUCATION,5.79,0.08,4.0,620.0,No,0.0
16580,23.0,male,High School,75080.0,0,MORTGAGE,5000.0,MEDICAL,11.36,0.07,3.0,650.0,Yes,0.0
30028,,male,High School,46469.0,18,RENT,8875.0,MEDICAL,19.03,0.19,11.0,603.0,Yes,0.0
15835,,female,Bachelor,229271.0,6,OWN,25000.0,PERSONAL,9.25,0.11,2.0,,Yes,0.0
17544,22.0,female,Bachelor,44091.0,0,MORTGAGE,5250.0,DEBTCONSOLIDATION,11.01,0.12,2.0,677.0,Yes,0.0
34557,,male,High School,121948.0,5,RENT,7632.0,DEBTCONSOLIDATION,12.9,0.06,5.0,712.0,No,0.0
10578,,female,Bachelor,43154.0,1,RENT,10000.0,DEBTCONSOLIDATION,13.48,0.23,4.0,682.0,No,0.0
31646,43.0,female,Bachelor,58391.0,21,RENT,15000.0,PERSONAL,12.42,0.26,12.0,735.0,No,1.0
15820,,male,High School,217249.0,2,MORTGAGE,5000.0,VENTURE,9.33,0.02,4.0,695.0,Yes,0.0
